|	To	|	Weight	|	Path
|		|		|	
|	0	|	0	|	[0]
|	1	|	inf	|	[No path exists]
|	2	|	inf	|	[No path exists]
|	3	|	inf	|	[No path exists]
|	4	|	inf	|	[No path exists]
|	5	|	inf	|	[No path exists]
|	6	|	inf	|	[No path exists]
|	7	|	inf	|	[No path exists]
|	8	|	inf	|	[No path exists]
|	9	|	inf	|	[No path exists]
|	10	|	inf	|	[No path exists]
|	11	|	inf	|	[No path exists]
|	12	|	inf	|	[No path exists]
|	13	|	inf	|	[No path exists]
|	14	|	inf	|	[No path exists]
|	15	|	inf	|	[No path exists]
|	16	|	inf	|	[No path exists]
|	17	|	inf	|	[No path exists]
|	18	|	inf	|	[No path exists]
|	19	|	inf	|	[No path exists]
|	20	|	inf	|	[No path exists]
|	21	|	inf	|	[No path exists]
|	22	|	inf	|	[No path exists]
|	23	|	inf	|	[No path exists]
|	24	|	inf	|	[No path exists]
|	25	|	inf	|	[No path exists]
|	26	|	inf	|	[No path exists]
|	27	|	inf	|	[No path exists]
|	28	|	inf	|	[No path exists]
|	29	|	inf	|	[No path exists]
|	30	|	inf	|	[No path exists]
|	31	|	inf	|	[No path exists]
|	32	|	inf	|	[No path exists]
|	33	|	inf	|	[No path exists]
|	34	|	inf	|	[No path exists]
|	35	|	inf	|	[No path exists]
|	36	|	inf	|	[No path exists]
|	37	|	inf	|	[No path exists]
|	38	|	inf	|	[No path exists]
|	39	|	inf	|	[No path exists]
|	40	|	inf	|	[No path exists]
|	41	|	inf	|	[No path exists]
|	42	|	inf	|	[No path exists]
|	43	|	inf	|	[No path exists]
|	44	|	inf	|	[No path exists]
|	45	|	inf	|	[No path exists]
|	46	|	6	|	[0, 46]
|	47	|	6	|	[0, 47]
|	48	|	inf	|	[No path exists]
|	49	|	-3	|	[0, 49]
|	50	|	inf	|	[No path exists]
|	51	|	inf	|	[No path exists]
|	52	|	-8	|	[0, 52]
|	53	|	inf	|	[No path exists]
|	54	|	inf	|	[No path exists]
|	55	|	inf	|	[No path exists]
|	56	|	inf	|	[No path exists]
|	57	|	inf	|	[No path exists]
|	58	|	inf	|	[No path exists]
|	59	|	inf	|	[No path exists]
|	60	|	inf	|	[No path exists]
|	61	|	inf	|	[No path exists]
|	62	|	7	|	[0, 62]
|	63	|	-3	|	[0, 63]
