|	To	|	Weight	|	Path
|		|		|	
|	1	|	inf	|	[No path exists]
|	2	|	inf	|	[No path exists]
|	3	|	inf	|	[No path exists]
|	4	|	inf	|	[No path exists]
|	5	|	inf	|	[No path exists]
|	6	|	inf	|	[No path exists]
|	7	|	inf	|	[No path exists]
|	8	|	inf	|	[No path exists]
|	9	|	inf	|	[No path exists]
|	10	|	inf	|	[No path exists]
|	11	|	inf	|	[No path exists]
|	12	|	inf	|	[No path exists]
|	13	|	inf	|	[No path exists]
|	14	|	inf	|	[No path exists]
|	15	|	inf	|	[No path exists]
|	16	|	inf	|	[No path exists]
|	17	|	inf	|	[No path exists]
|	18	|	inf	|	[No path exists]
|	19	|	inf	|	[No path exists]
|	20	|	inf	|	[No path exists]
|	21	|	inf	|	[No path exists]
|	22	|	inf	|	[No path exists]
|	23	|	inf	|	[No path exists]
|	24	|	inf	|	[No path exists]
|	25	|	inf	|	[No path exists]
|	26	|	inf	|	[No path exists]
|	27	|	inf	|	[No path exists]
|	28	|	inf	|	[No path exists]
|	29	|	inf	|	[No path exists]
|	30	|	inf	|	[No path exists]
|	31	|	inf	|	[No path exists]
|	32	|	inf	|	[No path exists]
|	33	|	inf	|	[No path exists]
|	34	|	inf	|	[No path exists]
|	35	|	inf	|	[No path exists]
|	36	|	inf	|	[No path exists]
|	37	|	inf	|	[No path exists]
|	38	|	inf	|	[No path exists]
|	39	|	inf	|	[No path exists]
|	40	|	inf	|	[No path exists]
|	41	|	inf	|	[No path exists]
|	42	|	inf	|	[No path exists]
|	43	|	inf	|	[No path exists]
|	44	|	inf	|	[No path exists]
|	45	|	inf	|	[No path exists]
|	46	|	inf	|	[No path exists]
|	47	|	inf	|	[No path exists]
|	48	|	inf	|	[No path exists]
|	49	|	inf	|	[No path exists]
|	50	|	inf	|	[No path exists]
|	51	|	inf	|	[No path exists]
|	52	|	inf	|	[No path exists]
|	53	|	inf	|	[No path exists]
|	54	|	inf	|	[No path exists]
|	55	|	inf	|	[No path exists]
|	56	|	inf	|	[No path exists]
|	57	|	inf	|	[No path exists]
|	58	|	inf	|	[No path exists]
|	59	|	inf	|	[No path exists]
|	60	|	inf	|	[No path exists]
|	61	|	inf	|	[No path exists]
|	62	|	inf	|	[No path exists]
|	63	|	inf	|	[No path exists]
|	64	|	inf	|	[No path exists]
|	65	|	inf	|	[No path exists]
|	66	|	inf	|	[No path exists]
|	67	|	inf	|	[No path exists]
|	68	|	inf	|	[No path exists]
|	69	|	inf	|	[No path exists]
|	70	|	inf	|	[No path exists]
|	71	|	inf	|	[No path exists]
|	72	|	inf	|	[No path exists]
|	73	|	inf	|	[No path exists]
|	74	|	inf	|	[No path exists]
|	75	|	inf	|	[No path exists]
|	76	|	inf	|	[No path exists]
|	77	|	inf	|	[No path exists]
|	78	|	inf	|	[No path exists]
|	79	|	inf	|	[No path exists]
|	80	|	inf	|	[No path exists]
|	81	|	inf	|	[No path exists]
|	82	|	inf	|	[No path exists]
|	83	|	inf	|	[No path exists]
|	84	|	inf	|	[No path exists]
|	85	|	inf	|	[No path exists]
|	86	|	inf	|	[No path exists]
|	87	|	inf	|	[No path exists]
|	88	|	inf	|	[No path exists]
|	89	|	inf	|	[No path exists]
|	90	|	inf	|	[No path exists]
|	91	|	inf	|	[No path exists]
|	92	|	inf	|	[No path exists]
|	93	|	inf	|	[No path exists]
|	94	|	inf	|	[No path exists]
|	95	|	inf	|	[No path exists]
|	96	|	inf	|	[No path exists]
|	97	|	inf	|	[No path exists]
|	98	|	inf	|	[No path exists]
|	99	|	inf	|	[No path exists]
|	100	|	inf	|	[No path exists]
|	101	|	inf	|	[No path exists]
|	102	|	inf	|	[No path exists]
|	103	|	inf	|	[No path exists]
|	104	|	inf	|	[No path exists]
|	105	|	inf	|	[No path exists]
|	106	|	inf	|	[No path exists]
|	107	|	inf	|	[No path exists]
|	108	|	inf	|	[No path exists]
|	109	|	inf	|	[No path exists]
|	110	|	inf	|	[No path exists]
|	111	|	inf	|	[No path exists]
|	112	|	inf	|	[No path exists]
|	113	|	inf	|	[No path exists]
|	114	|	inf	|	[No path exists]
|	115	|	inf	|	[No path exists]
|	116	|	inf	|	[No path exists]
|	117	|	inf	|	[No path exists]
|	118	|	inf	|	[No path exists]
|	119	|	inf	|	[No path exists]
|	120	|	inf	|	[No path exists]
|	121	|	inf	|	[No path exists]
|	122	|	inf	|	[No path exists]
|	123	|	inf	|	[No path exists]
|	124	|	inf	|	[No path exists]
|	125	|	inf	|	[No path exists]
|	126	|	inf	|	[No path exists]
|	127	|	inf	|	[No path exists]
|	128	|	inf	|	[No path exists]
|	129	|	inf	|	[No path exists]
|	130	|	inf	|	[No path exists]
|	131	|	inf	|	[No path exists]
|	132	|	inf	|	[No path exists]
|	133	|	inf	|	[No path exists]
|	134	|	inf	|	[No path exists]
|	135	|	inf	|	[No path exists]
|	136	|	inf	|	[No path exists]
|	137	|	inf	|	[No path exists]
|	138	|	inf	|	[No path exists]
|	139	|	inf	|	[No path exists]
|	140	|	inf	|	[No path exists]
|	141	|	inf	|	[No path exists]
|	142	|	inf	|	[No path exists]
|	143	|	inf	|	[No path exists]
|	144	|	inf	|	[No path exists]
|	145	|	inf	|	[No path exists]
|	146	|	inf	|	[No path exists]
|	147	|	inf	|	[No path exists]
|	148	|	inf	|	[No path exists]
|	149	|	inf	|	[No path exists]
|	150	|	inf	|	[No path exists]
|	151	|	inf	|	[No path exists]
|	152	|	inf	|	[No path exists]
|	153	|	inf	|	[No path exists]
|	154	|	inf	|	[No path exists]
|	155	|	inf	|	[No path exists]
|	156	|	inf	|	[No path exists]
|	157	|	inf	|	[No path exists]
|	158	|	inf	|	[No path exists]
|	159	|	inf	|	[No path exists]
|	160	|	inf	|	[No path exists]
|	161	|	inf	|	[No path exists]
|	162	|	inf	|	[No path exists]
|	163	|	inf	|	[No path exists]
|	164	|	inf	|	[No path exists]
|	165	|	inf	|	[No path exists]
|	166	|	inf	|	[No path exists]
|	167	|	inf	|	[No path exists]
|	168	|	inf	|	[No path exists]
|	169	|	inf	|	[No path exists]
|	170	|	inf	|	[No path exists]
|	171	|	inf	|	[No path exists]
|	172	|	inf	|	[No path exists]
|	173	|	inf	|	[No path exists]
|	174	|	inf	|	[No path exists]
|	175	|	inf	|	[No path exists]
|	176	|	inf	|	[No path exists]
|	177	|	inf	|	[No path exists]
|	178	|	inf	|	[No path exists]
|	179	|	inf	|	[No path exists]
|	180	|	inf	|	[No path exists]
|	181	|	inf	|	[No path exists]
|	182	|	inf	|	[No path exists]
|	183	|	inf	|	[No path exists]
|	184	|	inf	|	[No path exists]
|	185	|	inf	|	[No path exists]
|	186	|	inf	|	[No path exists]
|	187	|	inf	|	[No path exists]
|	188	|	inf	|	[No path exists]
|	189	|	inf	|	[No path exists]
|	190	|	inf	|	[No path exists]
|	191	|	inf	|	[No path exists]
|	192	|	inf	|	[No path exists]
|	193	|	inf	|	[No path exists]
|	194	|	inf	|	[No path exists]
|	195	|	inf	|	[No path exists]
|	196	|	inf	|	[No path exists]
|	197	|	inf	|	[No path exists]
|	198	|	inf	|	[No path exists]
|	199	|	inf	|	[No path exists]
|	200	|	inf	|	[No path exists]
|	201	|	inf	|	[No path exists]
|	202	|	inf	|	[No path exists]
|	203	|	inf	|	[No path exists]
|	204	|	inf	|	[No path exists]
|	205	|	inf	|	[No path exists]
|	206	|	inf	|	[No path exists]
|	207	|	inf	|	[No path exists]
|	208	|	inf	|	[No path exists]
|	209	|	inf	|	[No path exists]
|	210	|	inf	|	[No path exists]
|	211	|	inf	|	[No path exists]
|	212	|	inf	|	[No path exists]
|	213	|	inf	|	[No path exists]
|	214	|	inf	|	[No path exists]
|	215	|	inf	|	[No path exists]
